,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2008,9281557.0,-6880156.0,,,
March 2009,9281557.0,-6880156.0,,,
June 2009,9281557.0,-6880156.0,,,
September 2009,9281557.0,-6880156.0,,,
December 2009,8524715.5,60387.5,,,
March 2010,8524715.5,60387.5,,,
June 2010,7317348.0,-570598.0,,,
September 2010,2448015.0,937957.0,,,
December 2010,7216662.0,73000.0,,,
March 2011,7164326.0,493000.0,,,
June 2011,7383423.0,876477.0,,,
September 2011,-185315.0,-5418000.0,,,
December 2011,8626552.0,-85988.0,,,
March 2012,7137402.0,-21016000.0,,,
June 2012,5728802.0,-593000.0,,,
September 2012,2249540.0,-1623000.0,,,
December 2012,5142321.0,-3541877.0,,,
March 2013,5672139.0,-824616.0,,,
June 2013,4956866.0,-1089874.0,,,
September 2013,4139043.0,11169000.0,,,
December 2013,4120474.0,-630183.0,,,
March 2014,4085604.0,-248495.0,,,
June 2014,4047856.0,-587462.0,,,
September 2014,3959286.0,334506.0,,,
December 2014,3952923.0,-467818.0,,,
March 2015,3839236.0,47897.0,,,
June 2015,3840912.0,-652398.0,,,
September 2015,3760433.0,-119022.0,,,
December 2015,3745002.0,-270372.0,,,
March 2016,3906289.0,-81250.0,,,
