,Assets
March 2011,
June 2011,779725000.0
September 2011,764637000.0
December 2011,776218000.0
March 2012,760522000.0
June 2012,766161000.0
September 2012,753467000.0
December 2012,759833000.0
March 2013,772155000.0
June 2013,767747000.0
September 2013,744602000.0
December 2013,751343000.0
March 2014,773333000.0
June 2014,775128000.0
September 2014,781136000.0
December 2014,789231000.0
March 2015,790224000.0
June 2015,806233000.0
September 2015,817994000.0
December 2015,817189000.0
March 2016,833328000.0
June 2016,846056000.0
September 2016,851672000.0
December 2016,831943000.0
March 2017,842781000.0
June 2017,836311000.0
September 2017,828546000.0
December 2017,853381000.0
March 2018,830721000.0
June 2018,811791000.0
September 2018,808951000.0
December 2018,818077000.0
March 2019,835014000.0
June 2019,839178000.0
September 2019,824963000.0
December 2019,827879000.0
March 2020,856475000.0
June 2020,942887000.0
September 2020,937890000.0
December 2020,956597000.0
March 2021,993263000.0
June 2021,1036232000.0
September 2021,1065871000.0
December 2021,1105150000.0
March 2022,1109664000.0
June 2022,1084251000.0
