,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,9648750.0,1604500.0,1200000.0,,
June 2009,9648750.0,1604500.0,1200000.0,,
September 2009,9648750.0,1604500.0,1200000.0,,
December 2009,9648750.0,1604500.0,1200000.0,,
March 2010,9981000.0,1968000.0,-1898000.0,,
June 2010,10206000.0,1895000.0,-781000.0,,
September 2010,8225000.0,1945000.0,-825000.0,,
December 2010,13038000.0,2125000.0,-6186000.0,31803000.0,22305000.0
March 2011,10163000.0,2904000.0,-2363000.0,,
June 2011,9105000.0,2550000.0,884000.0,26589000.0,16533000.0
September 2011,8951000.0,2347000.0,-1243000.0,27847000.0,18034000.0
December 2011,8497000.0,2523000.0,-3754000.0,21863000.0,12013000.0
March 2012,9677000.0,2570000.0,-5036000.0,21578000.0,12061000.0
June 2012,8282000.0,1933000.0,-3141000.0,17598000.0,8703000.0
September 2012,8172000.0,1395000.0,-2246000.0,16282000.0,8047000.0
December 2012,5246000.0,1100000.0,773000.0,13058000.0,6202000.0
March 2013,4880000.0,1073000.0,-1004000.0,11304000.0,4654000.0
June 2013,4431000.0,934000.0,-54000.0,11903000.0,5321000.0
September 2013,4743000.0,959000.0,-932000.0,13243000.0,6400000.0
December 2013,8893000.0,812000.0,-4214000.0,7115000.0,5527000.0
