,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2008,40650.0,-212070.0,,
March 2009,40650.0,-212070.0,,
June 2009,40650.0,-212070.0,,
September 2009,40650.0,-212070.0,,
December 2009,40650.0,-212070.0,,
March 2010,0.0,-174987.5,,
June 2010,0.0,-174987.5,,
September 2010,103750.0,-241534.0,,
December 2010,103750.0,-212070.0,207562.0,207562.0
March 2011,103750.0,-215404.0,,
June 2011,103750.0,-368711.0,,
September 2011,0.0,-144065.0,40192.0,192.0
December 2011,0.0,-130393.0,40052.0,52.0
March 2012,0.0,-187516.0,40987.0,
June 2012,0.0,-65566.0,40663.0,
September 2012,0.0,109729.0,41528.0,
December 2012,24000.0,-314443.0,40950.0,950.0
March 2013,0.0,-3342221.0,48950.0,8950.0
June 2013,0.0,198433.0,45200.0,5200.0
September 2013,0.0,191636.0,47057.0,7057.0
December 2013,0.0,2452810.0,40545.0,545.0
March 2014,0.0,96550.0,,
June 2014,0.0,34856.0,40667.0,667.0
September 2014,19950.0,-175640.0,,
December 2014,19950.0,-175640.0,100.0,0.0
