,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2009,2162750.0,-573500.0,,
December 2009,2162750.0,-573500.0,,
March 2010,2162750.0,-573500.0,,
June 2010,2162750.0,-573500.0,,
September 2010,2009000.0,539000.0,,
December 2010,1995000.0,924000.0,,
March 2011,2380000.0,629000.0,,
June 2011,1641000.0,1355000.0,53376000.0,41432000.0
September 2011,2352000.0,824000.0,53033000.0,41226000.0
December 2011,2126000.0,817000.0,51142000.0,39442000.0
March 2012,2120000.0,963000.0,46621000.0,35104000.0
June 2012,1485000.0,1591000.0,53377000.0,39281000.0
September 2012,1925000.0,845000.0,49478000.0,35768000.0
December 2012,2249000.0,925000.0,53951000.0,40059000.0
March 2013,1877000.0,1042000.0,58680000.0,45283000.0
June 2013,3173000.0,-409000.0,57377000.0,44447000.0
September 2013,1870000.0,659000.0,62594000.0,45855000.0
December 2013,2415000.0,100000.0,62671000.0,46030000.0
March 2014,2258000.0,-131000.0,62855000.0,45435000.0
June 2014,-6543000.0,-962000.0,57761000.0,42833000.0
September 2014,2691000.0,-89000.0,68535000.0,41432000.0
December 2014,2925000.0,277000.0,67014000.0,41996000.0
March 2015,2749000.0,262000.0,72967000.0,48435000.0
June 2015,2638000.0,957000.0,89206000.0,65747000.0
September 2015,2854000.0,-431000.0,77211000.0,54022000.0
December 2015,3317000.0,65000.0,96272000.0,55495000.0
March 2016,3032000.0,-13285000.0,76043000.0,52671000.0
June 2016,3828000.0,-24236000.0,61316000.0,51965000.0
September 2016,2999000.0,-1455000.0,49963000.0,41618000.0
December 2016,3334000.0,-1362000.0,49569000.0,40661000.0
March 2017,2846000.0,-1477000.0,37507000.0,28919000.0
June 2017,3694000.0,-5279000.0,44347000.0,35789000.0
