,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,-61964.25,,,
June 2007,-61964.25,,,
September 2007,-61964.25,,,
December 2007,-61964.25,,,
March 2008,-242766.5,,,
June 2008,-242766.5,,,
September 2008,-242766.5,,,
December 2008,-242766.5,,,
March 2009,-845279.5,,,
June 2009,-845279.5,,,
September 2009,-845279.5,,,
December 2009,-845279.5,,,
March 2010,-1035526.0,,,
June 2010,-1035526.0,,,
September 2010,-1259367.0,,,
December 2010,-1001949.0,8673652.0,357281.0,8316371.0
March 2011,-409603.0,,,
June 2011,-631222.0,,,
September 2011,-1925844.0,11024328.0,1346697.0,9677631.0
December 2011,-1492194.0,10279638.0,358377.0,9921261.0
March 2012,-812222.0,10116140.0,171932.0,9944208.0
June 2012,-6897707.0,,,
September 2012,-1780633.0,10821235.0,894288.0,9926947.0
