,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2014,234000000.0,,
June 2014,234000000.0,,
September 2014,234000000.0,,
December 2014,234000000.0,,
March 2015,220000000.0,,
June 2015,251000000.0,,
September 2015,218000000.0,,
December 2015,184000000.0,,23514000000.0
March 2016,225000000.0,-122750000.0,
June 2016,234000000.0,-122750000.0,22020000000.0
September 2016,227000000.0,-122750000.0,21127000000.0
December 2016,213000000.0,-122750000.0,19155000000.0
March 2017,220000000.0,-191000000.0,19656000000.0
June 2017,223000000.0,-191000000.0,22433000000.0
September 2017,217000000.0,93000000.0,21344000000.0
December 2017,220000000.0,616000000.0,20058000000.0
March 2018,234000000.0,-202000000.0,22321000000.0
June 2018,265000000.0,-63000000.0,22771000000.0
September 2018,265000000.0,141000000.0,22460000000.0
December 2018,253000000.0,-101000000.0,21382000000.0
March 2019,234000000.0,-147000000.0,24030000000.0
June 2019,258000000.0,38000000.0,26354000000.0
September 2019,232000000.0,169000000.0,25541000000.0
December 2019,245000000.0,-118000000.0,24627000000.0
March 2020,208000000.0,-356000000.0,25842000000.0
June 2020,164000000.0,-847000000.0,23116000000.0
September 2020,143000000.0,-222000000.0,18757000000.0
December 2020,149000000.0,-289000000.0,16908000000.0
March 2021,151000000.0,190000000.0,16610000000.0
June 2021,172000000.0,-168000000.0,19007000000.0
September 2021,177000000.0,605000000.0,19593000000.0
December 2021,188000000.0,-261000000.0,19783000000.0
March 2022,235000000.0,426000000.0,20941000000.0
June 2022,257000000.0,940000000.0,22066000000.0
