,OperatingExpenses,NetIncomeLoss,Assets,AssetsNoncurrent
March 2010,929000.0,-134000.0,,
June 2010,3053000.0,-1241666.6666666667,,
September 2010,5013000.0,-1241666.6666666667,,
December 2010,8652000.0,-1241666.6666666667,441088000.0,
March 2011,9467000.0,-29000.0,,
June 2011,12299000.0,1936000.0,632709000.0,
September 2011,13105000.0,-1737000.0,674374000.0,
December 2011,12715000.0,278000.0,687671000.0,
March 2012,16188000.0,438000.0,788158000.0,
June 2012,16827000.0,368000.0,820544000.0,
September 2012,17003000.0,501000.0,827234000.0,5100000.0
December 2012,18426000.0,556000.0,1079254000.0,5100000.0
March 2013,22369000.0,296000.0,1102841000.0,
June 2013,19056000.0,3367000.0,1098006000.0,
September 2013,22744000.0,13483000.0,1202122000.0,5100000.0
December 2013,22330000.0,2378000.0,1218821000.0,
March 2014,23449000.0,2195000.0,1215698000.0,
June 2014,22819000.0,1905000.0,1391495000.0,
September 2014,22807000.0,1148000.0,1394427000.0,
December 2014,31457000.0,3504000.0,1647137000.0,
March 2015,32393000.0,20013000.0,1646878000.0,
June 2015,32319000.0,3488000.0,1644333000.0,
