,OperatingExpenses,NetIncomeLoss,Assets
March 2009,24080250.0,-2900750.0,
June 2009,24080250.0,-2900750.0,
September 2009,24080250.0,-2900750.0,
December 2009,24080250.0,-2900750.0,
March 2010,50377000.0,2543000.0,
June 2010,47471000.0,6859000.0,
September 2010,-5012000.0,-6010000.0,
December 2010,-5012000.0,-6010000.0,1603682000.0
March 2011,26679000.0,-4595000.0,
June 2011,77802000.0,-12229000.0,2089688000.0
September 2011,41548000.0,-53027000.0,1914182000.0
December 2011,53890000.0,-57052000.0,1636311000.0
March 2012,42175000.0,4705000.0,1414767000.0
June 2012,47855000.0,2773000.0,1597658000.0
September 2012,51136000.0,2129000.0,1584344000.0
December 2012,100407000.0,-49002000.0,1906611000.0
March 2013,64872000.0,-1168000.0,2077634000.0
June 2013,67047000.0,-7619000.0,2061298000.0
September 2013,79642000.0,-2306000.0,2139436000.0
December 2013,82226000.0,-8557000.0,2925501000.0
March 2014,94160000.0,10845000.0,3003409000.0
June 2014,103389000.0,-9845000.0,3131521000.0
September 2014,106275000.0,-485000.0,3268456000.0
December 2014,133253000.0,42428000.0,3704714000.0
March 2015,107407000.0,7275000.0,3756697000.0
June 2015,115439000.0,14132000.0,3626735000.0
September 2015,101717000.0,37251000.0,3592702000.0
December 2015,98788000.0,8677000.0,3609281000.0
March 2016,92546000.0,61393000.0,3627616000.0
June 2016,93356000.0,-2159000.0,3448055000.0
