,NetIncomeLoss,Assets,AssetsCurrent
March 2010,-757029.0,,
June 2010,135414.0,,
September 2010,-167316.0,,
December 2010,-953626.0,33875401.0,498299.0
March 2011,-239601.0,,
June 2011,692934.0,34494508.0,498353.0
September 2011,-2894576.0,39887519.0,734021.0
December 2011,-4731592.0,35377979.0,
March 2012,1028128.0,35377997.0,734067.0
June 2012,-176656.0,36434419.0,
September 2012,-1235893.0,34730788.0,
December 2012,-2241833.0,35216323.0,
March 2013,1551005.0,34730788.0,1330211.0
June 2013,2485638.0,36356191.0,
September 2013,-1206838.0,51881677.0,
December 2013,1024674.0,50414340.0,
March 2014,448410.0,50604404.0,1683837.0
June 2014,773129.0,51297086.0,
September 2014,-693366.0,52289493.0,
December 2014,600050.0,43977019.0,
March 2015,1918285.0,46308387.0,4306170.0
June 2015,120442.0,62687331.0,
September 2015,-562338.0,68696130.0,
December 2015,2632341.0,68808573.0,
March 2016,11615963.0,59965198.0,41346776.0
