,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2012,3157250.0,-59551500.0,,
June 2012,3157250.0,-59551500.0,,
September 2012,3157250.0,-59551500.0,,
December 2012,3157250.0,-59551500.0,,
March 2013,2694000.0,-7959000.0,,
June 2013,2626000.0,-1232000.0,,
September 2013,2181000.0,-1788000.0,,
December 2013,2691000.0,6268000.0,330023000.0,79024000.0
March 2014,3548000.0,-14418000.0,404743000.0,156461000.0
June 2014,3193000.0,-1642000.0,402704000.0,154483000.0
September 2014,3300000.0,-101382000.0,301409000.0,145538000.0
December 2014,3101000.0,3108000.0,304912000.0,151695000.0
March 2015,2903000.0,-7945000.0,290172000.0,137269000.0
June 2015,3674000.0,-7897000.0,293578000.0,126307000.0
September 2015,3816000.0,-7548000.0,283734000.0,119302000.0
December 2015,3901000.0,-113558000.0,177985000.0,113425000.0
March 2016,3209000.0,-6952000.0,166358000.0,98271000.0
June 2016,3103000.0,-1041000.0,164945000.0,97413000.0
