,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,21000.0,330000.0,-3000.0,,,
June 2010,28000.0,421000.0,-222000.0,,,
September 2010,48000.0,395000.0,-196000.0,,,
December 2010,55000.0,376000.0,-108000.0,17574000.0,2436000.0,14145000.0
March 2011,30000.0,439000.0,-334000.0,,,
June 2011,56000.0,480000.0,340000.0,18267000.0,3182000.0,14112000.0
September 2011,42000.0,465000.0,193000.0,18481000.0,3285000.0,14095000.0
December 2011,129000.0,620000.0,-8131000.0,10470000.0,2956000.0,6418000.0
March 2012,45000.0,524000.0,-275000.0,10265000.0,2771000.0,6402000.0
June 2012,53000.0,289000.0,6000.0,10341000.0,2820000.0,6388000.0
September 2012,35000.0,362000.0,-90000.0,9804000.0,2182000.0,
December 2012,18000.0,262000.0,-4180000.0,5472000.0,1033000.0,
March 2013,23000.0,308000.0,-72000.0,,,
June 2013,34000.0,294000.0,10000.0,5637000.0,1170000.0,
September 2013,29000.0,286000.0,-95000.0,5435000.0,738000.0,
December 2013,23000.0,274000.0,-200000.0,5133000.0,599000.0,2091000.0
March 2014,27000.0,308000.0,-272000.0,4849000.0,536000.0,2020000.0
June 2014,25000.0,277000.0,-17000.0,4733000.0,738000.0,1958000.0
September 2014,21000.0,255000.0,-22000.0,4220000.0,563000.0,1919000.0
