,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,11249000.0,-4870250.0,,,
June 2009,11249000.0,-4870250.0,,,
September 2009,11249000.0,-4870250.0,,,
December 2009,11249000.0,-4870250.0,,,
March 2010,11869000.0,-7130000.0,,,
June 2010,12015000.0,-2842000.0,,,
September 2010,12503000.0,-25802000.0,,,
December 2010,23261000.0,-8968000.0,1402246000.0,638453000.0,763793000.0
March 2011,13756000.0,17246000.0,,,
June 2011,17099000.0,-39343000.0,1035279000.0,313978000.0,721301000.0
September 2011,14826000.0,-20234000.0,947578000.0,277719000.0,669859000.0
December 2011,13442000.0,-52990000.0,846609000.0,245033000.0,601576000.0
March 2012,11228000.0,-214971000.0,572892000.0,236967000.0,335925000.0
June 2012,12191000.0,-3246000.0,542318000.0,218928000.0,323390000.0
September 2012,8552000.0,-2901000.0,511437000.0,181575000.0,329862000.0
