,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
June 2010,357.0,-357.0,,
September 2010,357.0,-357.0,21660.0,21660.0
December 2010,6643.666666666667,-8895.0,,
March 2011,6643.666666666667,-6123.0,,
June 2011,6643.666666666667,-4913.0,3929.0,3929.0
September 2011,,-5429.0,865.0,865.0
December 2011,,-179987.0,60363.0,60363.0
March 2012,,-179732.0,51086.0,51086.0
June 2012,,-109431.0,,
September 2012,,-109603.0,49154.0,49154.0
December 2012,,-129556.0,30632.0,30632.0
March 2013,,-99774.0,17381.0,17381.0
June 2013,,-53398.0,5344.0,5344.0
September 2013,,-73298.0,1097.0,1097.0
December 2013,,-69971.0,1680.0,1680.0
March 2014,,-59764.0,4497.0,4497.0
June 2014,,-45342.0,1047.0,1047.0
