,Assets
December 2010,574969984.0
March 2011,
June 2011,
September 2011,573503492.0
December 2011,562724979.0
March 2012,556395850.0
June 2012,
September 2012,552198454.0
December 2012,600769032.0
March 2013,601699593.0
June 2013,597767968.0
September 2013,646568943.0
December 2013,622044442.0
March 2014,633517825.0
June 2014,639379646.0
September 2014,631517275.0
December 2014,607614800.0
March 2015,610703216.0
June 2015,592987496.0
September 2015,614269182.0
December 2015,654874257.0
March 2016,636864968.0
June 2016,665318956.0
