,Assets
March 2011,
June 2011,
September 2011,
December 2011,6739668000.0
March 2012,
June 2012,
September 2012,
December 2012,6765120000.0
March 2013,
June 2013,
September 2013,
December 2013,10379935000.0
March 2014,
June 2014,
September 2014,
December 2014,9853068000.0
March 2015,
June 2015,
September 2015,
December 2015,8328881000.0
March 2016,
June 2016,
September 2016,
December 2016,8889116000.0
March 2017,
June 2017,
September 2017,
December 2017,7928501000.0
March 2018,
June 2018,
September 2018,
December 2018,6153130000.0
March 2019,
June 2019,
September 2019,
December 2019,7242324000.0
March 2020,
June 2020,
September 2020,
December 2020,6458647000.0
March 2021,
June 2021,
September 2021,
December 2021,8155728000.0
