,NetIncomeLoss,Assets,AssetsCurrent
March 2009,184212.5,,
June 2009,184212.5,,
September 2009,184212.5,,
December 2009,184212.5,,
March 2010,-242108.0,,
June 2010,-242108.0,,
September 2010,-134971.0,,
December 2010,-254294.0,2293444.0,216757.0
March 2011,-141259.0,,
June 2011,-102193.0,,
September 2011,-171524.0,2407114.0,93757.0
December 2011,-371850.0,2559820.0,218458.0
March 2012,5982745.0,8623729.0,7119587.0
June 2012,-79130.0,8312190.0,6670785.0
September 2012,-22327.0,8045175.0,6192835.0
December 2012,-838139.0,8335743.0,5952419.0
March 2013,-320848.0,8029519.0,5673502.0
June 2013,883367.0,7929463.0,5701401.0
September 2013,-298851.0,7710577.0,5606900.0
December 2013,-350775.0,7240073.0,5333449.0
March 2014,-474162.0,6728928.0,5159363.0
June 2014,-231785.0,6524641.0,4986094.0
September 2014,-1343503.0,4994888.0,4576086.0
December 2014,-2652748.0,1603951.0,1206177.0
March 2015,-140627.0,1445398.0,1060212.0
June 2015,-152103.0,1323640.0,949463.0
September 2015,-146021.0,1147447.0,775083.0
December 2015,-741124.0,945333.0,717085.0
March 2016,-81980.0,842817.0,515143.0
June 2016,-295234.0,542534.0,410856.0
September 2016,-84154.0,454229.0,328536.0
December 2016,-88670.0,364627.0,239627.0
March 2017,-90086.0,285651.0,160651.0
June 2017,-266787.0,513351.0,138351.0
September 2017,-57092.0,519079.0,34095.0
December 2017,-304379.0,318239.0,5374.0
March 2018,-46708.0,321485.0,1292.0
June 2018,-703498.0,6041683.0,254691.0
September 2018,-382827.0,6291918.0,522400.0
