,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
June 2009,2791.25,-2791.5,,
September 2009,2791.25,-2791.5,,
December 2009,2791.25,-2791.5,,
March 2010,2791.25,-2791.5,,
June 2010,15317.0,-8212.25,,
September 2010,413.0,-8212.25,,
December 2010,5079.0,-8212.25,,
March 2011,12040.0,-8212.25,,
June 2011,43993.0,-24202.0,,
September 2011,4412.0,-24202.0,,
December 2011,5170.0,-5170.0,,
March 2012,4324.0,-4325.0,,
June 2012,9073.0,-9073.0,,
September 2012,4849.0,-4849.0,,
December 2012,2824.0,-2840.0,,
March 2013,-1.0,-2776.0,,
June 2013,81235.0,-42348.0,,
September 2013,98618.0,-42088.0,,
December 2013,94675.0,-36945.0,,
March 2014,138807.0,-77719.0,,
June 2014,110578.0,-47010.0,,
September 2014,108296.0,-51729.0,,
December 2014,121937.0,-59737.0,,
March 2015,94834.0,-28818.0,,
June 2015,113809.0,-42483.0,,
September 2015,155120.0,-89695.0,,
December 2015,99358.0,-24255.0,,
March 2016,118935.0,-42815.0,,
June 2016,120325.0,-39251.0,,
September 2016,126371.0,-33639.0,,
December 2016,1042914.0,-186023.0,,
