,NetIncomeLoss,Assets
March 2009,-9902750.0,
June 2009,-9902750.0,
September 2009,-9902750.0,
December 2009,-9902750.0,
March 2010,438000.0,
June 2010,-1196000.0,
September 2010,-3635000.0,
December 2010,-31247000.0,870689000.0
March 2011,-1135000.0,
June 2011,-15244000.0,846447000.0
September 2011,-1983000.0,840784000.0
December 2011,-1026000.0,835050000.0
March 2012,8582000.0,789217000.0
June 2012,-2912000.0,783820000.0
September 2012,-357000.0,725932000.0
December 2012,32163000.0,842034000.0
March 2013,-2873000.0,852437000.0
June 2013,626000.0,873389000.0
September 2013,-11059000.0,903405000.0
December 2013,-11641000.0,774939000.0
March 2014,1287000.0,833535000.0
June 2014,871000.0,901546000.0
September 2014,969000.0,896908000.0
December 2014,1926000.0,898766000.0
March 2015,23512000.0,861008000.0
June 2015,-352000.0,999088000.0
September 2015,-3289000.0,1171999000.0
December 2015,-7826000.0,1322692000.0
March 2016,1486000.0,1441187000.0
June 2016,-171000.0,1677459000.0
September 2016,-1772000.0,1979034000.0
December 2016,5392000.0,2074633000.0
March 2017,-742000.0,2048305000.0
June 2017,3798000.0,2062293000.0
September 2017,10670000.0,2213417000.0
December 2017,8822000.0,2197107000.0
March 2018,32644000.0,2185886000.0
June 2018,3106000.0,2184558000.0
September 2018,-3301000.0,2209221000.0
December 2018,-6882000.0,2196594000.0
March 2019,106736000.0,2182431000.0
June 2019,-2963000.0,2258388000.0
September 2019,-4882000.0,2460706000.0
December 2019,1042000.0,2531509000.0
March 2020,-18549000.0,2770197000.0
June 2020,-8204000.0,2694115000.0
September 2020,-10122000.0,2537980000.0
December 2020,-7131000.0,2658599000.0
March 2021,30105000.0,2828715000.0
June 2021,-3777000.0,3060911000.0
September 2021,-19252000.0,3739731000.0
December 2021,42045000.0,4402246000.0
March 2022,37935000.0,4576227000.0
June 2022,-24072000.0,4766692000.0
