,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2007,5743500.0,4296000.0,,
March 2008,5743500.0,4296000.0,,
June 2008,5743500.0,4296000.0,,
September 2008,5743500.0,4296000.0,,
December 2008,6189500.0,5689000.0,,
March 2009,6189500.0,6629000.0,,
June 2009,5822000.0,7123000.0,,
September 2009,6286000.0,5756000.0,670885000.0,355683000.0
December 2009,6890000.0,6433000.0,,
March 2010,7127000.0,6718000.0,,
June 2010,6808000.0,3634000.0,959380000.0,658581000.0
September 2010,6411000.0,3359000.0,1042797000.0,731020000.0
December 2010,7402000.0,3651000.0,1018476000.0,704121000.0
March 2011,10064000.0,-2629000.0,1125654000.0,675353000.0
June 2011,8699000.0,2266000.0,1152537000.0,689911000.0
September 2011,8622000.0,-14031000.0,1155851000.0,666060000.0
December 2011,9723000.0,-868000.0,1147429000.0,596170000.0
March 2012,10024000.0,-4838000.0,1163612000.0,620015000.0
June 2012,11713000.0,6906000.0,1190366000.0,620479000.0
September 2012,12334000.0,-8206000.0,1222335000.0,667526000.0
December 2012,14227000.0,-12032000.0,1217651000.0,625167000.0
March 2013,13799000.0,-7645000.0,1228933000.0,631467000.0
June 2013,12724000.0,2815000.0,1681893000.0,1088288000.0
September 2013,16521000.0,-7532000.0,1724934000.0,1038676000.0
December 2013,21564000.0,-24220000.0,1740774000.0,1058501000.0
March 2014,20369000.0,-55981000.0,1708134000.0,989159000.0
June 2014,21034000.0,-32000.0,1745203000.0,1026563000.0
September 2014,24399000.0,-38062000.0,1896140000.0,1107373000.0
