,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,1612869.5,100477.25,-2547210.5,,,
June 2015,1612869.5,100477.25,-2547210.5,,,
September 2015,1612869.5,100477.25,-1873437.5,,,
December 2015,1612869.5,100477.25,-1873437.5,245764.0,64499.0,
March 2016,737706.0,10172.0,-949203.0,,,
June 2016,1009681.0,12101.0,-1350626.0,,,
September 2016,872007.0,20789.0,-1141045.0,,,
December 2016,1391626.0,20964.0,-2307523.0,262045.0,137555.0,
March 2017,685888.0,10239.0,-669011.0,643464.0,534520.0,
June 2017,884022.0,15530.0,-855661.0,512735.0,414077.0,
September 2017,1614525.0,105561.0,-1584383.0,3878345.0,1539402.0,
December 2017,2358886.0,128133.0,-2196114.0,7370223.0,5079895.0,
March 2018,2446388.0,159588.0,-2333461.0,5915789.0,3553372.0,
June 2018,1447984.0,34320.0,-1810083.0,4864516.0,2534395.0,
September 2018,1309466.0,4793.0,-2148193.0,3885710.0,1538805.0,
December 2018,1483857.0,33146.0,-1475670.0,3681100.0,1104921.0,
March 2019,1330539.0,29028.0,-1385099.0,3970923.0,544364.0,3426559.0
June 2019,2976108.0,77688.0,-3048348.0,5698141.0,2855557.0,
September 2019,2502651.0,31897.0,-2385371.0,8955046.0,6131626.0,
December 2019,4249261.0,55698.0,-4059490.0,12876821.0,11867718.0,
March 2020,2472837.0,31188.0,-2346913.0,15283234.0,14303267.0,
June 2020,1254556.0,44581.0,-707160.0,14034003.0,13171331.0,
September 2020,2290745.0,34034.0,-2143494.0,12159112.0,11334084.0,
December 2020,2476802.0,51175.0,-3374090.0,9860900.0,9094883.0,766017.0
March 2021,2769807.0,20608.0,-2669525.0,44702470.0,43995621.0,
June 2021,5099055.0,16756.0,-4540288.0,41284825.0,16546887.0,
September 2021,4403545.0,16234.0,-3014836.0,38613170.0,14866629.0,
December 2021,15584833.0,10760.0,-14520360.0,23460652.0,12069184.0,
March 2022,3716505.0,6691.0,-2618487.0,31620528.0,20567963.0,
June 2022,3111122.0,95524.0,-1701963.0,29834743.0,19099308.0,
