,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2010,3053186.0,857989.0,,
September 2010,2989832.0,586050.0,,
December 2010,2691460.0,254818.0,,
March 2011,2726430.0,279177.0,,
June 2011,2909136.0,240961.0,,
September 2011,3032310.0,158267.0,,
December 2011,3125677.0,85656.0,,
March 2012,3544550.0,649440.0,,
June 2012,4665405.0,-93144.0,,
September 2012,4679755.0,482834.0,,
December 2012,4380524.0,-216776.0,,
March 2013,4632670.0,320047.0,,
June 2013,4855558.0,967464.0,,
September 2013,4839754.0,784654.0,,
December 2013,4725540.0,743794.0,,
March 2014,4779662.0,422779.0,,
June 2014,4514211.0,16810.0,,
September 2014,4847801.0,146429.0,,
December 2014,4907243.0,564080.0,,
March 2015,5162382.0,176093.0,,
June 2015,5045353.0,658806.0,,
September 2015,5534075.0,1156298.0,,
December 2015,5120848.0,218728.0,,
March 2016,5493935.0,48827.0,,
June 2016,5359535.0,146597.0,,
September 2016,5238756.0,33295.0,,
December 2016,5085079.0,-47852.0,,
March 2017,6225740.0,1258166.0,,
June 2017,5912146.0,382882.0,,
September 2017,5642273.0,736115.0,,
December 2017,5637680.0,31338.0,,
March 2018,5897840.0,-4392205.0,,
June 2018,5934116.0,-526607.0,,
September 2018,5817155.0,-723941.0,,
December 2018,5539831.0,-595526.0,,
March 2019,5972015.0,980960.0,,
June 2019,5827326.0,361025.0,,
September 2019,5700288.0,661183.0,,
December 2019,5469654.0,-217039.0,,
March 2020,5295041.0,-362067.0,,
June 2020,5059525.0,-900666.0,,
September 2020,5421739.0,626858.0,,
December 2020,5212629.0,249268.0,,
March 2021,5868520.0,1565559.0,,
June 2021,6111015.0,8796716.0,,
September 2021,6805756.0,3150205.0,,
December 2021,7758582.0,-2724297.0,,
March 2022,8226718.0,641544.0,,
June 2022,8861218.0,1376675.0,,
