,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2008,95628500.0,3371250.0,,
March 2009,95628500.0,3371250.0,,
June 2009,95628500.0,3371250.0,,
September 2009,95628500.0,3371250.0,,
December 2009,99292500.0,3282000.0,,
March 2010,99292500.0,3282000.0,,
June 2010,100477000.0,-15823000.0,,
September 2010,98991000.0,-4480000.0,,
December 2010,103734000.0,-902000.0,936757000.0,345881000.0
March 2011,107447000.0,-377000.0,,
June 2011,104127000.0,6598000.0,,
September 2011,98927000.0,-15207000.0,947852000.0,363128000.0
December 2011,100124000.0,1236000.0,919194000.0,342095000.0
March 2012,106498000.0,1678000.0,936259000.0,359986000.0
June 2012,120632000.0,,923559000.0,351198000.0
September 2012,63895500.0,,971509000.0,380721000.0
December 2012,63895500.0,,1005345000.0,406074000.0
