,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2010,495629.0,4383.0,,
December 2010,480904.0,198743.0,,
March 2011,520745.0,9090.0,,
June 2011,,,2304088.0,2102041.0
September 2011,616595.0,217144.0,2264663.0,2114057.0
December 2011,885116.0,-430222.0,1949059.0,1815783.0
March 2012,1016434.0,-480521.0,2162547.0,2013525.0
June 2012,895797.0,183752.0,2127027.0,1927263.0
September 2012,794203.0,-450508.0,1642641.0,1438035.0
December 2012,776940.0,-405103.0,1319057.0,1106770.0
March 2013,803153.0,-85995.0,1464545.0,1190950.0
June 2013,982943.0,-379805.0,1357982.0,1105652.0
September 2013,776733.0,-673284.0,1095680.0,864873.0
December 2013,915121.0,-417682.0,828176.0,607818.0
March 2014,645345.0,-165441.0,828136.0,629968.0
June 2014,682783.0,-683016.0,645193.0,448195.0
September 2014,817790.0,-1334861.0,593699.0,409673.0
December 2014,596283.0,-2209502.0,813390.0,657537.0
March 2015,510086.0,-458523.0,722791.0,605367.0
