,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2010,1772255.0,-509072.0,,
September 2010,2572391.0,-396607.0,,
December 2010,3954693.0,137531.0,,
March 2011,1837279.0,281122.0,,
June 2011,4529561.0,-191859.0,,
September 2011,4018000.0,-2120606.0,,
December 2011,4121286.0,-288047.0,,
March 2012,4081564.0,-5328072.0,,
June 2012,4404262.0,168125.0,,
September 2012,4012392.0,-819008.0,,
December 2012,4121894.0,235356.0,,
March 2013,4114198.0,452434.0,,
June 2013,4309941.0,-215827.0,,
September 2013,4076583.0,220757.0,,
December 2013,4017777.0,-203038.0,,
March 2014,3965204.0,646089.0,,
June 2014,4112620.0,354029.0,,
September 2014,4132066.0,416067.0,,
December 2014,4396240.0,448108.0,,
March 2015,4568834.0,588873.0,,
June 2015,4210555.0,457996.0,,
September 2015,4042140.0,617988.0,,
December 2015,4886618.0,466351.0,,
March 2016,5475949.0,-241289.0,,
June 2016,5270278.0,-99573.0,,
September 2016,5163876.0,150022.0,,
December 2016,5149807.0,-683046.0,,
March 2017,5168142.0,1196561.0,,
June 2017,4359431.0,124002.0,,
September 2017,5295763.0,638977.0,,
December 2017,4234480.0,193327.0,,
March 2018,6825860.0,367119.0,,
June 2018,4474984.0,-51844.0,,
September 2018,4393961.0,539090.0,,
December 2018,4396277.0,-120713.0,,
