,Assets
March 2009,
June 2009,
September 2009,25976604000.0
December 2009,25948266000.0
March 2010,24977276000.0
June 2010,23924616000.0
September 2010,24788287000.0
December 2010,24857429000.0
March 2011,24569273000.0
June 2011,24534022000.0
September 2011,25575208000.0
December 2011,26216925000.0
March 2012,32417465000.0
June 2012,31986583000.0
September 2012,31977977000.0
December 2012,32586606000.0
March 2013,31886123000.0
June 2013,32015137000.0
September 2013,32111409000.0
December 2013,33324574000.0
March 2014,32755599000.0
June 2014,30586414000.0
September 2014,29672165000.0
December 2014,29532330000.0
March 2015,30275527000.0
June 2015,30083531000.0
September 2015,30641303000.0
December 2015,30650673000.0
March 2016,31398498000.0
June 2016,31379783000.0
September 2016,31668848000.0
December 2016,31103578000.0
March 2017,30946093000.0
June 2017,30965966000.0
September 2017,31032410000.0
December 2017,32257638000.0
March 2018,31017860000.0
June 2018,30843140000.0
September 2018,31079693000.0
December 2018,30686223000.0
March 2019,30841776000.0
June 2019,30732915000.0
September 2019,33844226000.0
December 2019,31231630000.0
March 2020,34121114000.0
June 2020,34026170000.0
September 2020,31661575000.0
December 2020,34786846000.0
March 2021,34411504000.0
June 2021,34827856000.0
September 2021,33946139000.0
December 2021,33777379000.0
March 2022,33451427000.0
June 2022,33079036000.0
