,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
September 2007,12042.583333333334,-20298.5,,
December 2007,12042.583333333334,-20298.5,,
March 2008,12042.583333333334,-20298.5,,
June 2008,12042.583333333334,-20298.5,,
September 2008,12042.583333333334,-26046.5,,
December 2008,12042.583333333334,-26046.5,,
March 2009,12042.583333333334,-26046.5,,
June 2009,12042.583333333334,-26046.5,,
September 2009,12042.583333333334,-26041.0,,
December 2009,12042.583333333334,-26041.0,,
March 2010,12042.583333333334,-26041.0,,
June 2010,12042.583333333334,-26041.0,,
September 2010,22177.0,-29698.0,,
December 2010,4711.0,-7583.0,,
March 2011,7776.0,-11947.0,,
June 2011,34502.0,-45309.0,1864.0,1864.0
September 2011,28469.0,-31723.0,5126.0,5126.0
December 2011,26307.0,-26307.0,296.0,296.0
March 2012,13943.0,-13943.0,338.0,338.0
June 2012,11857.0,-11857.0,2855.0,637.0
September 2012,14160.0,-16287.0,2202.0,98.0
December 2012,22317.0,-26307.0,2048.0,58.0
March 2013,5778.0,-11061.0,2054.0,176.0
June 2013,8482.0,-8295.0,0.0,0.0
September 2013,2813.0,-2813.0,5.0,5.0
December 2013,33152.0,-33152.0,0.0,0.0
March 2014,6775.0,-6775.0,0.0,0.0
June 2014,,,,
September 2014,,,,
December 2014,,,,
March 2015,,,,
June 2015,,,,
September 2015,,,,
December 2015,,,,
March 2016,,,,
June 2016,,,,
September 2016,,,,
December 2016,,,,
March 2017,,,,
June 2017,,,,
September 2017,187.5,-187.5,,
December 2017,187.5,-187.5,,
March 2018,187.5,-187.5,,
June 2018,187.5,-187.5,,
September 2018,0.0,0.0,,
December 2018,0.0,0.0,,
March 2019,750.0,-750.0,,
June 2019,0.0,0.0,,
September 2019,0.0,0.0,,
December 2019,235.0,-235.0,,
March 2020,5364.0,-5364.0,,
