,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,843500.0,12604000.0,1631000.0,,
June 2010,843500.0,12272000.0,4479000.0,,
September 2010,843500.0,12248000.0,3572000.0,,
December 2010,843500.0,13405000.0,4289000.0,449954000.0,145686000.0
March 2011,1032500.0,15616000.0,1362000.0,,
June 2011,1032500.0,13014000.0,4175000.0,465981000.0,161461000.0
September 2011,966000.0,13865000.0,594000.0,472023000.0,163422000.0
December 2011,1009000.0,16163000.0,-3172000.0,638865000.0,172932000.0
March 2012,893000.0,18709000.0,830000.0,642281000.0,176949000.0
June 2012,811000.0,,1636000.0,,
September 2012,1293000.0,,3738000.0,612773000.0,156613000.0
December 2012,1155000.0,,2923000.0,605318000.0,154014000.0
March 2013,1164000.0,,-294000.0,602476000.0,156874000.0
June 2013,1174000.0,,1177000.0,593590000.0,151667000.0
September 2013,1121000.0,,-34524000.0,525070000.0,138718000.0
December 2013,1113000.0,,-2157000.0,515836000.0,134177000.0
March 2014,1122000.0,,1254000.0,527286000.0,147630000.0
June 2014,1277000.0,,-6551000.0,514144000.0,149452000.0
September 2014,1261000.0,,1317000.0,511323000.0,151207000.0
