,Assets
September 2010,399103986.0
December 2010,399881521.0
March 2011,391107587.0
June 2011,406985588.0
September 2011,397327580.0
December 2011,407407114.0
March 2012,382251412.0
June 2012,379146947.0
September 2012,403479130.0
December 2012,391682378.0
March 2013,380816453.0
June 2013,384880116.0
September 2013,380984000.0
December 2013,357984000.0
March 2014,334843000.0
June 2014,314035000.0
September 2014,268306000.0
December 2014,256922000.0
March 2015,232203000.0
June 2015,253705000.0
September 2015,276300000.0
December 2015,277276000.0
March 2016,266355000.0
June 2016,267221000.0
September 2016,272462000.0
December 2016,260157000.0
March 2017,237058000.0
June 2017,232596000.0
September 2017,226841000.0
December 2017,222451000.0
March 2018,209013000.0
June 2018,213054000.0
September 2018,222556000.0
December 2018,230868000.0
March 2019,221125000.0
June 2019,213203000.0
