,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
December 2010,20489.0,-32594.0,,
March 2011,20489.0,-20152.0,,
June 2011,20489.0,-20152.0,,
September 2011,20489.0,-20152.0,,
December 2011,20489.0,-20152.0,,
March 2012,20489.0,-20036.0,,
June 2012,20489.0,-20036.0,,
September 2012,20489.0,-20036.0,,
December 2012,20489.0,-20036.0,,
March 2013,15557.0,-13395.25,,
June 2013,15557.0,-13395.25,,
September 2013,15557.0,-13395.25,,
December 2013,15557.0,-13395.25,16723.0,
March 2014,4576.0,-2273.0,,
June 2014,6116.0,-5296.0,,
September 2014,4063.0,-563.0,,
December 2014,27678.0,-24371.0,12307.0,1656.0
March 2015,25477.0,-19547.0,15393.0,5562.0
June 2015,26539.0,-26539.0,26493.0,17482.0
September 2015,37992.0,-31052.0,18769.0,10578.0
December 2015,35268.0,-30283.0,12657.0,5286.0
March 2016,27019.0,-26319.0,41293.0,34747.0
June 2016,41270.0,-41270.0,8399.0,2678.0
September 2016,33057.0,-31157.0,5856.0,960.0
