,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2006,591603.125,-159267.0,,,
June 2006,591603.125,-521916.5,,,
September 2006,591603.125,-521916.5,,,
December 2006,591603.125,-521916.5,,,
March 2007,591603.125,-521916.5,,,
June 2007,591603.125,-495595.5,,,
September 2007,591603.125,-495595.5,,,
December 2007,591603.125,-495595.5,,,
March 2008,591603.125,-495595.5,,,
June 2008,591603.125,-751053.0,,,
September 2008,591603.125,-751053.0,,,
December 2008,591603.125,-751053.0,,,
March 2009,591603.125,-751053.0,,,
June 2009,591603.125,-751053.0,,,
September 2009,591603.125,-751053.0,,,
December 2009,136691.0,-172038.0,,,
March 2010,591603.125,-751053.0,,,
June 2010,136691.0,-172038.0,,,
September 2010,152848.0,-153825.0,,,
December 2010,131809.0,-129806.0,,,
March 2011,361753.0,-367140.0,,,
June 2011,207900.0,-210015.0,,,
September 2011,254234.0,-256257.0,,,
December 2011,180532.0,-182542.0,,,
March 2012,155528.0,-154794.0,,,
June 2012,134798.0,-136676.0,,,
September 2012,378578.0,-381341.0,,,
December 2012,179269.0,-176645.0,,,
March 2013,196042.0,-172376.0,,,
June 2013,97531.0,-100274.0,,,
September 2013,298383.0,-300703.0,,,
December 2013,74642.0,-108256.0,,,
March 2014,144155.0,-172324.0,,,
June 2014,240493.0,-252541.0,,,
September 2014,153221.0,-190122.0,,,
December 2014,90731.0,-83667.0,,,
