,OperatingExpenses,NetIncomeLoss,Assets
March 2009,7196500.0,-1955250.0,
June 2009,7196500.0,-1955250.0,
September 2009,7196500.0,-1955250.0,
December 2009,7196500.0,-1955250.0,
March 2010,16024000.0,-164000.0,
June 2010,22894000.0,-1603000.0,
September 2010,35227000.0,-8000.0,
December 2010,31617000.0,-4518000.0,3243658000.0
March 2011,41961000.0,14260000.0,
June 2011,52079000.0,10480000.0,4287366000.0
September 2011,72380000.0,1271000.0,5081909000.0
December 2011,68495000.0,19285000.0,5697568000.0
March 2012,72658000.0,35937000.0,6212990000.0
June 2012,82890000.0,23223000.0,6976319000.0
September 2012,82081000.0,18567000.0,7242706000.0
December 2012,96429000.0,125611000.0,7453725000.0
March 2013,97065000.0,40111000.0,7340577000.0
June 2013,177779000.0,29023000.0,7913173000.0
September 2013,295961000.0,24189000.0,8047495000.0
