,NetIncomeLoss,Assets
March 2011,-196750.0,
June 2011,-196750.0,
September 2011,-196750.0,
December 2011,-196750.0,
March 2012,62000.0,
June 2012,62000.0,
September 2012,62000.0,
December 2012,62000.0,859766000.0
March 2013,545000.0,
June 2013,603000.0,
September 2013,0.0,
December 2013,-2910000.0,2946196000.0
March 2014,-8992000.0,2870727000.0
June 2014,-6978000.0,2861863000.0
September 2014,-7837000.0,2908885000.0
December 2014,-5807000.0,2873808000.0
March 2015,-4584000.0,2867697000.0
June 2015,-3849000.0,2856415000.0
September 2015,-4752000.0,2847013000.0
December 2015,-8807000.0,2798010000.0
March 2016,-4689000.0,2760255000.0
June 2016,-3785000.0,2746905000.0
September 2016,-4954000.0,2778702000.0
December 2016,-5409000.0,2769959000.0
March 2017,-5251000.0,2762920000.0
June 2017,-5424000.0,2747897000.0
September 2017,-6052000.0,2752705000.0
December 2017,-6338000.0,2747815000.0
March 2018,-6923000.0,2834660000.0
June 2018,-4367000.0,2806870000.0
September 2018,-8595000.0,2827061000.0
December 2018,-89864000.0,2795658000.0
March 2019,-31080000.0,2795449000.0
June 2019,-23903000.0,2819268000.0
September 2019,-26363000.0,2811867000.0
December 2019,-14741000.0,2826972000.0
March 2020,-32894000.0,2804291000.0
June 2020,-112173000.0,2806755000.0
September 2020,-14351000.0,2847412000.0
December 2020,-48610000.0,2816456000.0
March 2021,-42124000.0,2780495000.0
June 2021,-15696000.0,2750548000.0
September 2021,-49494000.0,2729372000.0
December 2021,-13695000.0,2722478000.0
March 2022,-15185000.0,2703365000.0
June 2022,-8322000.0,2665595000.0
