,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1634564.5,-1693398.0,,,
June 2010,1634564.5,-1693398.0,,,
September 2010,395647.0,-491806.0,,,
December 2010,364905.0,-425628.0,351380.0,317775.0,
March 2011,742547.0,-961793.0,,,
June 2011,703521.0,-947794.0,,,
September 2011,559867.0,-771796.0,472971.0,444158.0,
December 2011,1034536.0,-1351599.0,359026.0,330188.0,
March 2012,627302.0,-950253.0,607966.0,326819.0,
June 2012,600458.0,-617886.0,474517.0,220549.0,
September 2012,367801.0,-554906.0,498381.0,485862.0,
December 2012,168846.0,-829549.0,218073.0,207367.0,13002.0
March 2013,351111.0,-1452872.0,188439.0,179247.0,13002.0
June 2013,222127.0,-2130111.0,413119.0,406893.0,13002.0
September 2013,185040.0,-545271.0,72183.0,67221.0,13002.0
December 2013,158028.0,-440007.0,30374.0,25736.0,13002.0
March 2014,78685.0,-1025997.0,56088.0,51773.0,
June 2014,160857.0,-733109.0,13239.0,9248.0,
