,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2010,864871.0,-615897.0,,,
September 2010,996206.0,-711272.0,,,
December 2010,955038.0,-621835.0,,,
March 2011,872569.0,-863224.0,,,
June 2011,1065324.0,-837235.0,,,
September 2011,1228201.0,-757733.0,,,
December 2011,1293374.0,-746980.0,,,
March 2012,1338860.0,-764775.0,,,
June 2012,1246980.0,-677028.0,,,
September 2012,1213523.0,-793398.0,,,
December 2012,1162247.0,-682193.0,,,
March 2013,1029195.0,-629832.0,,,
June 2013,832707.0,-425754.0,,,
September 2013,1212617.0,-789978.0,,,
December 2013,783252.0,-338597.0,,,
March 2014,6424089.0,-6171441.0,,,
June 2014,3535008.0,-3236446.0,,,
September 2014,1885851.0,4887315.0,,,
December 2014,1618000.0,-1640000.0,,,
March 2015,-4273859.0,-7240869.0,,,
June 2015,1152657.0,-943985.0,,,
September 2015,832343.0,-605015.0,,,
December 2015,735000.0,-756000.0,,,
March 2016,-1523000.0,-2743000.0,,,
