,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,59252500.0,2970000.0,,
June 2009,59252500.0,2970000.0,,
September 2009,59252500.0,2970000.0,,
December 2009,59252500.0,2970000.0,,
March 2010,57455000.0,-1777000.0,,
June 2010,56381000.0,-6269000.0,,
September 2010,64229000.0,390000.0,,
December 2010,69024000.0,-579000.0,,
March 2011,62799000.0,-7661000.0,,
June 2011,58760000.0,-6220000.0,,
September 2011,55361000.0,3113000.0,,
December 2011,59388000.0,8950000.0,,
March 2012,55603000.0,3835000.0,,
June 2012,55091000.0,-768000.0,,
September 2012,57379000.0,4289000.0,,
December 2012,69328000.0,12114000.0,,
March 2013,54613000.0,4102000.0,,
