,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,,,,,,,
June 2009,,,,,,,
September 2009,,,,,,,
December 2009,,,,,,,
March 2010,,,,,,,
June 2010,,,,,,,
September 2010,,,,,,,
December 2010,,,,,,,
March 2011,,,,,,,
June 2011,,,,,,,
September 2011,,,,,,,
December 2011,,,,,,,
March 2012,,172750.0,2171250.0,-2857000.0,,,
June 2012,,172750.0,2171250.0,-2857000.0,,,
September 2012,,172750.0,2171250.0,-2857000.0,,,
December 2012,,172750.0,2171250.0,-2857000.0,19750000.0,6410000.0,13340000.0
March 2013,1011000.0,347000.0,1509000.0,-423000.0,,,
June 2013,2014000.0,349000.0,1606000.0,-711000.0,,,
September 2013,2041000.0,352000.0,1689000.0,-1184000.0,,,
December 2013,,460000.0,1501000.0,-1714000.0,17614000.0,4826000.0,12788000.0
March 2014,1749000.0,335000.0,1414000.0,-848000.0,16451000.0,3662000.0,12789000.0
June 2014,1649000.0,191000.0,1458000.0,-751000.0,15847000.0,3072000.0,12775000.0
September 2014,1447000.0,168000.0,1279000.0,-778000.0,15656000.0,2894000.0,12762000.0
December 2014,2131000.0,238000.0,1893000.0,-1018000.0,34823000.0,3112000.0,31711000.0
March 2015,1960000.0,386000.0,1320000.0,-1379000.0,35113000.0,3674000.0,31439000.0
June 2015,1787000.0,360000.0,1173000.0,-108000.0,35440000.0,4283000.0,31157000.0
September 2015,1895000.0,361000.0,1280000.0,-1187000.0,34223000.0,3340000.0,30883000.0
December 2015,3116000.0,388000.0,1078000.0,-3140000.0,32847000.0,3623000.0,29224000.0
March 2016,1663000.0,361000.0,1144000.0,-547000.0,32183000.0,3199000.0,28984000.0
June 2016,1641000.0,543000.0,940000.0,-536000.0,32194000.0,3381000.0,28813000.0
September 2016,1907000.0,640000.0,1109000.0,182000.0,31845000.0,3210000.0,28635000.0
December 2016,13565000.0,509000.0,1070000.0,-11279000.0,19758000.0,3207000.0,16551000.0
