,OperatingExpenses,NetIncomeLoss,Assets
March 2009,,-4830000.0,
June 2009,,-4830000.0,
September 2009,,-4830000.0,
December 2009,,-4830000.0,
March 2010,2313500.0,6789000.0,
June 2010,2313500.0,-4532000.0,
September 2010,2313500.0,-69790000.0,
December 2010,2313500.0,-14356000.0,2673926000.0
March 2011,2854750.0,-20630000.0,2769834000.0
June 2011,2854750.0,-15733000.0,2940360000.0
September 2011,2854750.0,-1239000.0,2987422000.0
December 2011,2854750.0,-32008000.0,2893949000.0
March 2012,1978000.0,-24743000.0,2875784000.0
June 2012,2181000.0,-19942000.0,3015364000.0
September 2012,2189000.0,23613000.0,2983577000.0
December 2012,1654000.0,-55001000.0,2938028000.0
March 2013,1686000.0,-23299000.0,2939391000.0
June 2013,1326000.0,-55204000.0,2891886000.0
September 2013,1627000.0,78293000.0,2835538000.0
December 2013,2453000.0,-252329000.0,2700653000.0
March 2014,1712000.0,-20353000.0,2718788000.0
June 2014,1791000.0,-8505000.0,2709569000.0
September 2014,1710000.0,30623000.0,2534866000.0
December 2014,1467000.0,-93909000.0,2284212000.0
March 2015,1406000.0,-8215000.0,2223125000.0
June 2015,1723000.0,228101000.0,1638336000.0
September 2015,1157000.0,40845000.0,1618518000.0
December 2015,1165000.0,-121173000.0,1029461000.0
March 2016,1356000.0,654000.0,1020787000.0
June 2016,1489000.0,43063000.0,1052314000.0
September 2016,1111000.0,20701000.0,1019222000.0
December 2016,1311000.0,1530000.0,842422000.0
March 2017,1129000.0,-1616000.0,
June 2017,1233000.0,,
September 2017,836000.0,,
