,NetIncomeLoss,Assets
March 2009,-11185500.0,
June 2009,-11185500.0,
September 2009,-11185500.0,
December 2009,-11185500.0,
March 2010,1945000.0,
June 2010,2841000.0,
September 2010,1255000.0,
December 2010,891000.0,1935693000.0
March 2011,1045000.0,
June 2011,169000.0,1931684000.0
September 2011,272000.0,1902737000.0
December 2011,1252000.0,1883590000.0
March 2012,3309000.0,1890827000.0
June 2012,3147000.0,
September 2012,3091000.0,1854982000.0
December 2012,2602000.0,1807232000.0
March 2013,3792000.0,1794534000.0
June 2013,3547000.0,1797620000.0
September 2013,3035000.0,1810353000.0
December 2013,3072000.0,1809555000.0
March 2014,3370000.0,1814279000.0
June 2014,4824000.0,1785183000.0
September 2014,4107000.0,1769871000.0
December 2014,4158000.0,1782606000.0
March 2015,4074000.0,1815338000.0
June 2015,3502000.0,1750413000.0
September 2015,3832000.0,1764755000.0
December 2015,3584000.0,1775950000.0
March 2016,6180000.0,1772702000.0
June 2016,3556000.0,1754983000.0
September 2016,4324000.0,1658493000.0
December 2016,2545000.0,1671030000.0
March 2017,3329000.0,1682459000.0
June 2017,4482000.0,1652340000.0
September 2017,5312000.0,1659976000.0
December 2017,-1435000.0,1673872000.0
March 2018,5641000.0,1685987000.0
June 2018,5847000.0,1631962000.0
