,NetIncomeLoss,Assets
December 2008,-179178000.0,
March 2009,-179178000.0,
June 2009,-179178000.0,
September 2009,-179178000.0,
December 2009,103777500.0,
March 2010,103777500.0,
June 2010,-72854000.0,
September 2010,-132113000.0,
December 2010,-64142000.0,
March 2011,-72667000.0,
June 2011,-50930000.0,
September 2011,-98348000.0,
December 2011,-18265000.0,
March 2012,1802000.0,
June 2012,34676000.0,
September 2012,-84410000.0,
December 2012,-11308000.0,
March 2013,1318000.0,
June 2013,8466000.0,
September 2013,32819000.0,
December 2013,-24523000.0,
March 2014,-7902000.0,
June 2014,17105000.0,
September 2014,322464000.0,
December 2014,-14376000.0,
March 2015,-19559000.0,
June 2015,-7684000.0,
September 2015,25519000.0,
December 2015,-16173000.0,
March 2016,-8461000.0,
June 2016,-474000.0,
September 2016,22289000.0,
December 2016,-143000.0,
March 2017,-6682000.0,
June 2017,-337209000.0,
September 2017,11841000.0,
December 2017,-30809000.0,
March 2018,-9823000.0,
June 2018,-1026000.0,
September 2018,46178000.0,
December 2018,-17452000.0,
March 2019,,
June 2019,,
September 2019,,
December 2019,,
March 2020,,
June 2020,,
September 2020,,
December 2020,,
March 2021,,
June 2021,,
September 2021,,
December 2021,,
March 2022,,
June 2022,,
