,OperatingExpenses,NetIncomeLoss,Assets
March 2010,457116000.0,232331000.0,
June 2010,446592000.0,76230000.0,
September 2010,461797000.0,115836000.0,
December 2010,433674000.0,278714000.0,20517471000.0
March 2011,531689000.0,444471000.0,
June 2011,487138000.0,117312000.0,20538864000.0
September 2011,501892000.0,60587000.0,20188228000.0
December 2011,388548000.0,95844000.0,20446487000.0
March 2012,487023000.0,270667000.0,20269729000.0
June 2012,475183000.0,43507000.0,20003765000.0
September 2012,509065000.0,257546000.0,20397816000.0
December 2012,450154000.0,90803000.0,22065049000.0
March 2013,468419000.0,277641000.0,21126127000.0
June 2013,469390000.0,167391000.0,20333231000.0
September 2013,434138000.0,108418000.0,20275321000.0
December 2013,514772000.0,-52662000.0,20097224000.0
March 2014,417140000.0,86577000.0,20369352000.0
June 2014,439129000.0,101712000.0,20736779000.0
September 2014,450310000.0,159512000.0,21000515000.0
December 2014,316040000.0,564664000.0,21248320000.0
March 2015,439088000.0,109364000.0,19261051000.0
June 2015,422897000.0,196214000.0,19585907000.0
September 2015,436156000.0,231938000.0,19971926000.0
December 2015,443878000.0,266149000.0,21143293000.0
March 2016,613317000.0,-101286000.0,20873374000.0
June 2016,434894000.0,255357000.0,21073730000.0
September 2016,444044000.0,96946000.0,20859369000.0
