,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2013,1081.25,0.0,,,
March 2014,1081.25,0.0,,,
June 2014,1081.25,0.0,,,
September 2014,1081.25,-4325.0,0.0,,
December 2014,122.0,-122.0,,,
March 2015,1608.0,-1608.0,,,
June 2015,2323.0,-2323.0,,,
September 2015,532.0,-532.0,427.0,427.0,
December 2015,6067.0,-6067.0,8010.0,8010.0,
March 2016,3167.0,-3167.0,11823.0,11823.0,
June 2016,10648.0,-9678.0,2338.0,2338.0,
September 2016,2310.0,-1285.0,696.0,696.0,
December 2016,4240.0,-4240.0,4982.0,4982.0,
March 2017,4905.0,-4905.0,4982.0,4982.0,
June 2017,25790.0,-25790.0,,,
September 2017,54424.0,-54424.0,0.0,,
December 2017,18470.0,-17078.0,90585.0,69342.0,
March 2018,111442.0,-43029.0,154794.0,117038.0,
June 2018,771943.0,-618536.0,85860.0,51592.0,
September 2018,263427.0,-448569.0,1031590.0,872444.0,159146.0
December 2018,46313.0,46142.0,125337.0,98044.0,
March 2019,446948.0,-145770.0,4219172.0,2322843.0,1896329.0
June 2019,506663.0,114986.0,4533966.0,2619786.0,1914180.0
