,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2005,1637614.6666666667,-1952075.5,,
December 2005,1637614.6666666667,-1952075.5,,
March 2006,1637614.6666666667,-5110300.25,,
June 2006,1637614.6666666667,-5110300.25,,
September 2006,1637614.6666666667,-5110300.25,,
December 2006,1637614.6666666667,-5110300.25,,
March 2007,1637614.6666666667,-9035715.25,,
June 2007,1637614.6666666667,-9035715.25,,
September 2007,1637614.6666666667,-9035715.25,,
December 2007,1637614.6666666667,-9035715.25,,
March 2008,1637614.6666666667,-6582567.75,,
June 2008,1637614.6666666667,-6582567.75,,
September 2008,1637614.6666666667,-6582567.75,,
December 2008,1637614.6666666667,-6582567.75,,
March 2009,1637614.6666666667,-6260007.0,,
June 2009,1637614.6666666667,-6260007.0,,
September 2009,1637614.6666666667,-6260007.0,,
December 2009,1637614.6666666667,-6260007.0,,
March 2010,1666535.5,-9196098.0,,
June 2010,1666535.5,-9196098.0,,
September 2010,1328056.0,-7436520.0,,
December 2010,987279.0,-2252957.0,18640043.0,391801.0
March 2011,1232187.0,-382969.0,,
June 2011,459357.0,-1062715.0,,
September 2011,336748.0,-1290225.0,14586926.0,326010.0
December 2011,133856.0,-705956.0,14103928.0,226969.0
March 2012,312543.0,-925220.0,13908163.0,330869.0
June 2012,558606.0,-1371079.0,,
September 2012,718464.0,-1487197.0,13882191.0,541218.0
