,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,60221000.0,,51317500.0,-3841000.0,,,
June 2009,60221000.0,,51317500.0,-3841000.0,,,
September 2009,60221000.0,,51317500.0,-3841000.0,,,
December 2009,60221000.0,,51317500.0,-3841000.0,,,
March 2010,54577000.0,1216750.0,54145000.0,-813000.0,,,
June 2010,51534000.0,1216750.0,50508000.0,-110000.0,,,
September 2010,48505000.0,1216750.0,49276000.0,1381000.0,,,
December 2010,51297000.0,1216750.0,49881000.0,-90000.0,384787000.0,188001000.0,
March 2011,52377000.0,1132500.0,52303000.0,428000.0,,,
June 2011,52232000.0,1132500.0,52030000.0,-996000.0,354124000.0,164701000.0,
September 2011,31013000.0,1132500.0,51140000.0,8354000.0,354116000.0,163056000.0,
December 2011,56716000.0,1132500.0,51386000.0,-95484000.0,293861000.0,172852000.0,
March 2012,52320000.0,839000.0,50215000.0,-5112000.0,286402000.0,170337000.0,
June 2012,46870000.0,839000.0,45380000.0,-1135000.0,277398000.0,170060000.0,
September 2012,43786000.0,839000.0,43053000.0,-2616000.0,268409000.0,164497000.0,
December 2012,43314000.0,839000.0,42026000.0,-209000.0,259904000.0,159054000.0,
March 2013,36469000.0,1034500.0,34736000.0,4699000.0,255771000.0,155793000.0,
June 2013,42987000.0,1034500.0,42794000.0,-4710000.0,249600000.0,152232000.0,
September 2013,72917000.0,1034500.0,54384000.0,-23223000.0,507667000.0,240758000.0,
December 2013,57061000.0,1034500.0,51022000.0,15821000.0,480877000.0,236356000.0,244521000.0
March 2014,64618000.0,,58679000.0,-7128000.0,473490000.0,234178000.0,
June 2014,63823000.0,,57104000.0,-5797000.0,470978000.0,231143000.0,
September 2014,62158000.0,,55511000.0,-5599000.0,463984000.0,228583000.0,235401000.0
