,Assets
December 2009,5228943000.0
March 2010,
June 2010,4953092000.0
September 2010,5086039000.0
December 2010,5064799000.0
March 2011,4984669000.0
June 2011,4846371000.0
September 2011,4855628000.0
December 2011,4989673000.0
March 2012,5015294000.0
June 2012,5008312000.0
September 2012,4956365000.0
December 2012,5174179000.0
March 2013,5146673000.0
June 2013,5247792000.0
September 2013,6451000000.0
December 2013,6775560000.0
March 2014,6762664000.0
June 2014,6731739000.0
September 2014,6660842000.0
December 2014,6625536000.0
March 2015,6564504000.0
June 2015,6556730000.0
September 2015,6689793000.0
December 2015,6557629000.0
March 2016,6518298000.0
June 2016,6584868000.0
September 2016,6722922000.0
December 2016,5992813000.0
March 2017,6083901000.0
June 2017,6159635000.0
September 2017,6309674000.0
December 2017,6439757000.0
March 2018,6414631000.0
June 2018,6550873000.0
September 2018,6819075000.0
December 2018,6934394000.0
March 2019,6938579000.0
June 2019,6882259000.0
September 2019,7338732000.0
