,Assets
March 2010,
June 2010,7301687000.0
September 2010,7559788000.0
December 2010,7644276000.0
March 2011,7527491000.0
June 2011,7527085000.0
September 2011,7504661000.0
December 2011,7004437000.0
March 2012,6872405000.0
June 2012,7068090000.0
September 2012,7190117000.0
December 2012,7560101000.0
March 2013,7802099000.0
June 2013,7883902000.0
September 2013,7886839000.0
December 2013,7752614000.0
March 2014,7767363000.0
June 2014,7862504000.0
September 2014,7884195000.0
December 2014,7754839000.0
March 2015,7730504000.0
June 2015,7114521000.0
September 2015,7139909000.0
December 2015,6895515000.0
March 2016,6896960000.0
June 2016,6865025000.0
September 2016,6862081000.0
December 2016,6772002000.0
March 2017,6958510000.0
June 2017,7317569000.0
September 2017,7297471000.0
December 2017,7388196000.0
March 2018,7427674000.0
June 2018,7502818000.0
September 2018,7824810000.0
December 2018,7804024000.0
March 2019,7962480000.0
June 2019,8014127000.0
September 2019,8262954000.0
December 2019,8420562000.0
March 2020,8574284000.0
June 2020,8567009000.0
September 2020,8743025000.0
December 2020,9111394000.0
March 2021,9295447000.0
June 2021,9844160000.0
September 2021,10048377000.0
December 2021,10445655000.0
March 2022,10587409000.0
June 2022,10958282000.0
