,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,47168420.75,2173586.0,-4108524.25,
June 2009,47168420.75,2173586.0,-4108524.25,
September 2009,47168420.75,2173586.0,-4108524.25,
December 2009,47168420.75,2173586.0,-4108524.25,
March 2010,48353884.0,1741368.0,356517.0,
June 2010,46783641.0,2201611.0,774457.0,
September 2010,47990111.0,2113567.0,4246262.0,
December 2010,54211856.0,3761512.0,-6993368.0,363773520.0
March 2011,45899974.0,1779766.0,1085563.0,
June 2011,45526983.0,2255631.0,3658842.0,380183831.0
September 2011,48506204.0,3155217.0,3070602.0,388709919.0
December 2011,45231375.0,1834531.0,4209553.0,396040319.0
March 2012,48341603.0,1850100.0,5431859.0,391548286.0
June 2012,48406563.0,2334954.0,3713388.0,418050311.0
September 2012,48563046.0,2333977.0,1535301.0,395954203.0
December 2012,46836538.0,2355175.0,237033.0,424738239.0
March 2013,46990001.0,2184239.0,397414.0,407600925.0
