,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2016,-11.25,,0.0,,,
June 2016,-11.25,,0.0,,,
September 2016,-11.25,,-22.5,,,
December 2016,-11.25,,-22.5,,,
March 2017,-6252.0,,-1100.0,,,
June 2017,3122.0,,-1168.0,,,
September 2017,3187.0,,-214.0,,,
December 2017,-17771.0,,-3892.0,,,
March 2018,4752.0,11169.0,4979.0,,,
June 2018,13557.0,11169.0,-11969.0,,,
September 2018,13116.0,11169.0,-13052.0,,,
December 2018,-67539.0,2607.0,-2354.0,,,
March 2019,14821.0,14821.0,-8510.0,,,
June 2019,2701.0,2701.0,763.0,,,
September 2019,6145.0,1830.0,-6145.0,,,
December 2019,,1830.0,20811.0,,,
March 2020,,17745.0,-17745.0,,,
June 2020,,90615.0,-90615.0,,,
September 2020,,31792.0,28708.0,,,
December 2020,,397430.0,-345730.0,,,
March 2021,,60390.0,235662.0,,,
June 2021,,90323.0,-250877.0,,,
September 2021,,157453.0,337844.0,,,
December 2021,,278728.0,-1586631.0,,,
March 2022,,224873.0,276656.0,,,
June 2022,,174513.0,144137.0,,,
