,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,115091750.0,40672000.0,-9720250.0,
June 2009,115091750.0,40672000.0,-9720250.0,
September 2009,115091750.0,40672000.0,-9720250.0,
December 2009,115091750.0,40672000.0,-9720250.0,
March 2010,115996000.0,42539000.0,-3464000.0,
June 2010,125817000.0,42547000.0,-12111000.0,
September 2010,127415000.0,48689000.0,-23120000.0,
December 2010,117971000.0,31133000.0,-48228000.0,745721000.0
March 2011,76645000.0,33863000.0,-9810000.0,
June 2011,59280000.0,27441000.0,19000.0,662987000.0
September 2011,62014000.0,27919000.0,-7638000.0,679802000.0
December 2011,60108000.0,21493000.0,-145169000.0,444808000.0
March 2012,54869000.0,26821000.0,-8480000.0,419220000.0
June 2012,52582000.0,23611000.0,-5695000.0,382073000.0
September 2012,51908000.0,24097000.0,-29458000.0,349961000.0
December 2012,58616000.0,21526000.0,-8280000.0,338395000.0
March 2013,64336000.0,30841000.0,-6251000.0,392864000.0
June 2013,65459000.0,25362000.0,1485000.0,390943000.0
September 2013,60026000.0,24525000.0,47618000.0,386030000.0
December 2013,64811000.0,19007000.0,-12134000.0,386841000.0
March 2014,41840000.0,12792000.0,664000.0,381125000.0
June 2014,50494000.0,14450000.0,-7242000.0,367198000.0
September 2014,52051000.0,19740000.0,-17755000.0,365042000.0
December 2014,30103000.0,5872000.0,-7874000.0,337689000.0
March 2015,51308000.0,16379000.0,-1980000.0,312394000.0
