,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1360568.5,1979004.5,,,
June 2010,1360568.5,1979004.5,,,
September 2010,2469220.0,3850140.0,,,
December 2010,4193159.0,5591057.0,111521656.0,47810456.0,63711200.0
March 2011,2882745.0,9651031.0,,,
June 2011,4399051.0,475391.0,,,
September 2011,3173251.0,2176373.0,122973390.0,52309168.0,70664222.0
December 2011,2382999.0,2941507.0,129039652.0,58671013.0,70368639.0
March 2012,3834922.0,-356928.0,128025087.0,58863713.0,69161374.0
June 2012,5231347.0,-4034422.0,,,
September 2012,2475917.0,-2123733.0,119371386.0,41556589.0,77814797.0
December 2012,27806849.0,-24722498.0,97763900.0,43764974.0,53998926.0
March 2013,2074184.0,-2210306.0,97100928.0,42947966.0,54152962.0
June 2013,1972437.0,-1548817.0,94554604.0,38113134.0,56441470.0
September 2013,2057227.0,-2072207.0,97648849.0,36479719.0,61169130.0
December 2013,2495714.0,-1909306.0,96505871.0,35254613.0,61251258.0
March 2014,1746375.0,-1806360.0,94492666.0,34208210.0,60284456.0
