,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,,693663.0,,,
June 2010,,693663.0,,,
September 2010,,821415.0,,,
December 2010,,596419.0,,,
March 2011,,806937.0,-517949.0,1536579.0,453677.0
June 2011,,128333.0,-517949.0,,
September 2011,,71792.0,-517949.0,,
December 2011,,-802270.0,-517949.0,583475.0,149421.0
March 2012,,51792.0,-282247.0,471247.0,105784.0
June 2012,,124933.0,-124933.0,387788.0,87121.0
September 2012,,92178.0,-184123.0,146514.0,62931.0
December 2012,,81903.0,-95236.0,58197.0,16405.0
March 2013,,86237.0,-86237.0,5960.0,5960.0
June 2013,,47839.0,-47839.0,11624.0,11624.0
September 2013,,61650.0,-61650.0,4244.0,4244.0
December 2013,,64428.0,-64428.0,61186.0,61186.0
March 2014,,48232.0,-48232.0,35607.0,35607.0
June 2014,,38788.0,-38788.0,18825.0,18825.0
September 2014,132.0,9477.0,-135.0,3287.0,3287.0
December 2014,132.0,40259.0,-129.0,1810.0,3580.0
March 2015,15326.0,,-20576.0,3551.0,3551.0
June 2015,30780.0,,-44495.0,,116971.0
September 2015,80595.0,,-92039.0,,40832.0
December 2015,44352.0,,-40875.0,,21683.0
March 2016,6402.0,,-5202.0,,9780.0
June 2016,77775.0,,-202906.0,,21907.0
September 2016,85088.0,,-256109.0,,50136.0
December 2016,263855.0,,-1339135.0,,60085.0
March 2017,96987.0,,-63239.0,,31963.0
June 2017,58563.0,,-48345.0,,1199.0
September 2017,57208.0,,-578708.0,,
December 2017,71966.0,,-867346.0,,28438.0
March 2018,77776.0,77776.0,-1430884.0,,10429.0
June 2018,48776.0,48776.0,1480271.0,,892.0
September 2018,57364.0,57364.0,-349525.0,,34482.0
December 2018,51458.0,,366901.0,,3439.0
March 2019,55483.0,55483.0,-98864.0,,102099.0
June 2019,82334.0,82334.0,-289911.0,,27942.0
September 2019,45027.0,45027.0,-101545.0,,1605.0
December 2019,27593.0,,-1811223.0,,43707.0
March 2020,36303.0,,1368246.0,,33158.0
June 2020,59066.0,,-131419.0,,25414.0
September 2020,73972.0,,-164425.0,,788.0
December 2020,63711.0,,-3478426.0,,4142.0
March 2021,59807.0,,-7547040.0,,163238.0
June 2021,72897.0,,654554.0,,129549.0
September 2021,83782.0,,-4606208.0,,66129.0
December 2021,195169.0,,7975140.0,,41981.0
March 2022,80812.0,,803985.0,,22297.0
June 2022,49700.0,,940322.0,,33170.0
