,OperatingExpenses,NetIncomeLoss,AssetsCurrent
December 2006,717.4375,-1897.3333333333333,
March 2007,717.4375,-1897.3333333333333,
June 2007,717.4375,-1897.3333333333333,
September 2007,717.4375,-518.25,
December 2007,717.4375,-518.25,
March 2008,717.4375,-518.25,
June 2008,717.4375,-518.25,
September 2008,717.4375,-396.75,
December 2008,717.4375,-396.75,
March 2009,717.4375,-396.75,
June 2009,717.4375,-396.75,
September 2009,717.4375,-445.5,
December 2009,717.4375,-445.5,
March 2010,717.4375,-445.5,
June 2010,717.4375,-445.5,
September 2010,0.0,0.0,
December 2010,2775.0,-2775.0,
March 2011,218.0,-218.0,
June 2011,717.4375,-345.0,0.0
September 2011,109.0,-109.0,0.0
December 2011,2364.0,-2364.0,0.0
March 2012,315.0,-315.0,0.0
June 2012,259.0,-259.0,0.0
September 2012,0.0,0.0,
December 2012,5185.0,5610.0,0.0
March 2013,3578.0,-3578.0,
June 2013,6515.0,-6515.0,
September 2013,2400.0,-2400.0,
December 2013,2773.0,-2773.0,
March 2014,2919.0,-2919.0,
