,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,129192.0,128229.0,-116374.25,
June 2009,129192.0,128229.0,-116374.25,
September 2009,129192.0,128229.0,-116374.25,
December 2009,129192.0,128229.0,-116374.25,
March 2010,126290.0,125328.0,-123141.0,
June 2010,113395.0,112412.0,-109306.0,
September 2010,122075.0,121129.0,-117369.0,
December 2010,138985.0,138097.0,-133333.0,2980517.0
March 2011,117702.0,115029.0,-90475.0,
June 2011,113110.0,111965.0,-94854.0,2718796.0
September 2011,122508.0,120913.0,-95487.0,2654264.0
December 2011,162326.0,161437.0,-162053.0,2558464.0
March 2012,124501.0,123352.0,-115462.0,2323774.0
June 2012,112765.0,111880.0,-112578.0,2221792.0
September 2012,116959.0,115817.0,-112826.0,2175884.0
December 2012,164771.0,163884.0,-156855.0,1817068.0
March 2013,174276.0,173389.0,-173841.0,1684940.0
