,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,943713.5,474714.5,360374.0,,
June 2010,943713.5,474714.5,360374.0,,
September 2010,1338591.0,479108.0,-3786261.0,,
December 2010,1560367.0,648047.0,-1560737.0,1768929.0,221344.0
March 2011,1580735.0,568657.0,-1240178.0,,
June 2011,2086802.0,644736.0,-1843263.0,,
September 2011,2665700.0,1641288.0,-2395209.0,2714065.0,540571.0
December 2011,3601639.0,854251.0,-3602972.0,437629.0,110645.0
March 2012,976405.0,215358.0,-983316.0,542479.0,270846.0
June 2012,604578.0,91530.0,-922983.0,264923.0,48439.0
September 2012,778910.0,203556.0,-1174179.0,,
December 2012,481002.0,36832.0,-744970.0,489410.0,370910.0
March 2013,934525.0,135598.0,-2390643.0,136863.0,79968.0
June 2013,588706.0,126009.0,-1136051.0,627318.0,593303.0
September 2013,590758.0,185740.0,-742370.0,197510.0,165196.0
December 2013,599438.0,199264.0,-750913.0,313414.0,282800.0
March 2014,651952.0,289497.0,-802827.0,154358.0,127146.0
June 2014,626103.0,268590.0,-857974.0,112650.0,10144.0
September 2014,498377.0,86701.0,-632818.0,205065.0,27325.0
December 2014,382368.0,153002.0,-696473.0,207864.0,39677.0
March 2015,229634.0,60881.0,-922372.0,196032.0,37398.0
