,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2004,1000500.0,4291.666666666667,-1000.0,,
March 2005,1000500.0,4291.666666666667,-12750.0,,
June 2005,1000500.0,4291.666666666667,-12750.0,,
September 2005,1000500.0,4291.666666666667,-12750.0,,
December 2005,1000500.0,4291.666666666667,-12750.0,,
March 2006,1000500.0,4291.666666666667,-140666.66666666666,,
June 2006,1000500.0,4291.666666666667,-140666.66666666666,,
September 2006,1000500.0,4291.666666666667,-140666.66666666666,,
December 2006,1000500.0,4291.666666666667,-591750.0,,
March 2007,1000500.0,4291.666666666667,-591750.0,,
June 2007,1000500.0,4291.666666666667,-591750.0,,
September 2007,1000500.0,4291.666666666667,-591750.0,,
December 2007,1000500.0,4291.666666666667,-4620250.0,,
March 2008,1000500.0,4291.666666666667,-4620250.0,,
June 2008,1000500.0,4291.666666666667,-4620250.0,,
September 2008,1000500.0,4291.666666666667,-4620250.0,,
December 2008,1000500.0,4291.666666666667,-297000.0,,
March 2009,1000500.0,4291.666666666667,-297000.0,,
June 2009,1000500.0,4291.666666666667,-297000.0,,
September 2009,1000500.0,4291.666666666667,-297000.0,,
December 2009,1000500.0,4291.666666666667,-688000.0,,
March 2010,1000500.0,4291.666666666667,-688000.0,,
June 2010,1000500.0,4291.666666666667,-688000.0,,
September 2010,1000500.0,4291.666666666667,-688000.0,,
December 2010,1437000.0,0.0,-1517000.0,,
March 2011,444000.0,0.0,-570000.0,,
June 2011,403500.0,0.0,-412000.0,,
September 2011,403500.0,0.0,-412000.0,11000.0,11000.0
December 2011,398000.0,0.0,-465000.0,183000.0,8000.0
March 2012,483000.0,0.0,-560000.0,210000.0,35000.0
June 2012,401000.0,0.0,-361000.0,,
September 2012,385000.0,0.0,-526000.0,179000.0,4000.0
December 2012,372000.0,0.0,-503000.0,170000.0,4000.0
March 2013,305000.0,-2.9103830456733704e-11,-470000.0,157000.0,
June 2013,188000.0,0.0,-472000.0,149000.0,
