,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,41806000.0,9343000.0,27899500.0,-7238500.0,,
June 2009,41806000.0,9343000.0,27899500.0,-7238500.0,,
September 2009,41806000.0,9343000.0,27899500.0,-7238500.0,,
December 2009,41806000.0,9343000.0,27899500.0,-7238500.0,,
March 2010,43542000.0,9858000.0,33079000.0,-4036000.0,,
June 2010,40330000.0,9594000.0,30082000.0,5416000.0,,
September 2010,40377000.0,10185000.0,29565000.0,5585000.0,,
December 2010,51066000.0,12880000.0,40264000.0,-1725000.0,431566000.0,324987000.0
March 2011,49403000.0,13088000.0,35460000.0,1156000.0,432764000.0,318053000.0
June 2011,49667000.0,13321000.0,35488000.0,4888000.0,452500000.0,322131000.0
September 2011,50822000.0,13928000.0,36034000.0,2627000.0,456535000.0,325954000.0
December 2011,53710000.0,12761000.0,40075000.0,29422000.0,496724000.0,350057000.0
March 2012,58866000.0,13649000.0,44345000.0,271000.0,501989000.0,322590000.0
June 2012,56758000.0,13879000.0,41991000.0,3299000.0,524221000.0,360413000.0
September 2012,54441000.0,13032000.0,40699000.0,1975000.0,538971000.0,382109000.0
December 2012,63296000.0,14909000.0,45759000.0,2477000.0,902344000.0,622527000.0
March 2013,61892000.0,15651000.0,43829000.0,-3161000.0,895139000.0,563703000.0
June 2013,65419000.0,17954000.0,45734000.0,-2388000.0,909526000.0,604867000.0
September 2013,68791000.0,16609000.0,45479000.0,-8456000.0,927700000.0,576708000.0
December 2013,84177000.0,18945000.0,47908000.0,-20489000.0,831919000.0,509391000.0
March 2014,67960000.0,13957000.0,50311000.0,-10903000.0,835356000.0,517016000.0
June 2014,57589000.0,13700000.0,49353000.0,282000.0,880553000.0,388390000.0
September 2014,65079000.0,13508000.0,47400000.0,-8000000.0,865056000.0,362435000.0
