,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,4518.0,,,
June 2010,4518.0,,,
September 2010,7670.0,,,
December 2010,11275.0,,3746.0,3746.0
March 2011,4322.0,-4318.0,,
June 2011,4315.0,-4318.0,,
September 2011,6635.0,-6635.0,0.0,0.0
December 2011,2884.0,-2885.0,0.0,0.0
March 2012,7769.0,-7769.0,,
June 2012,3245.0,-4315.0,0.0,0.0
September 2012,7335.0,-7335.0,0.0,0.0
December 2012,16763.0,-15693.0,0.0,0.0
March 2013,55613.0,-55613.0,0.0,
June 2013,7500.0,-7500.0,,
September 2013,4500.0,-4500.0,,
December 2013,5500.0,-5500.0,,
March 2014,4500.0,-4500.0,,
June 2014,4500.0,-4500.0,,
September 2014,4500.0,-4500.0,,
December 2014,45150.0,-45150.0,,
March 2015,19069.0,-19069.0,,
June 2015,9798.0,-9798.0,,
September 2015,11039.0,-11039.0,,
December 2015,13417.0,-13417.0,,
March 2016,10198.0,-10198.0,,
June 2016,10198.0,-10198.0,,
September 2016,10198.0,-10198.0,,
December 2016,15409.0,-15409.0,,
March 2017,11073.0,-11073.0,,
June 2017,12065.0,-12065.0,,
September 2017,10147.0,-10147.0,,
December 2017,13603.0,-13603.0,,
March 2018,10148.0,-10148.0,,
June 2018,13015.0,-13015.0,,
September 2018,10148.0,-10148.0,,
December 2018,,-18498.0,,
March 2019,11198.0,-11198.0,,
