,OperatingExpenses,NetIncomeLoss,AssetsCurrent
September 2009,0.0,0.0,
December 2009,0.0,0.0,
March 2010,0.0,0.0,
June 2010,0.0,0.0,
September 2010,0.0,0.0,
December 2010,0.0,0.0,
March 2011,0.0,0.0,
June 2011,0.0,0.0,0.0
September 2011,0.0,0.0,0.0
December 2011,0.0,0.0,0.0
March 2012,0.0,0.0,0.0
June 2012,0.0,0.0,0.0
September 2012,0.0,0.0,0.0
December 2012,0.0,0.0,0.0
March 2013,0.0,0.0,0.0
June 2013,0.0,0.0,0.0
September 2013,0.0,0.0,0.0
December 2013,0.0,0.0,0.0
March 2014,0.0,0.0,0.0
June 2014,0.0,0.0,0.0
September 2014,0.0,0.0,0.0
December 2014,0.0,0.0,0.0
March 2015,0.0,0.0,0.0
June 2015,0.0,0.0,0.0
September 2015,0.0,0.0,0.0
December 2015,0.0,0.0,0.0
March 2016,0.0,0.0,0.0
June 2016,0.0,0.0,0.0
September 2016,0.0,0.0,0.0
December 2016,0.0,0.0,0.0
March 2017,0.0,0.0,0.0
June 2017,0.0,0.0,0.0
September 2017,0.0,0.0,0.0
December 2017,0.0,0.0,0.0
March 2018,0.0,0.0,0.0
June 2018,0.0,0.0,0.0
September 2018,0.0,0.0,0.0
December 2018,0.0,0.0,0.0
March 2019,0.0,0.0,0.0
June 2019,0.0,0.0,0.0
September 2019,0.0,0.0,0.0
December 2019,0.0,0.0,0.0
March 2020,0.0,0.0,0.0
June 2020,0.0,0.0,0.0
September 2020,0.0,0.0,0.0
December 2020,0.0,0.0,0.0
March 2021,0.0,0.0,0.0
June 2021,0.0,0.0,0.0
September 2021,0.0,0.0,0.0
December 2021,0.0,0.0,0.0
March 2022,0.0,0.0,0.0
June 2022,0.0,0.0,0.0
