,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2011,9163500.0,3132500.0,4232750.0,,
June 2011,9163500.0,3132500.0,4232750.0,,
September 2011,9163500.0,3132500.0,4232750.0,,
December 2011,9163500.0,3132500.0,4232750.0,,
March 2012,13474000.0,3945000.0,-715000.0,,
June 2012,15417000.0,3570000.0,2479000.0,,
September 2012,18492000.0,4809000.0,2122000.0,,
December 2012,21371000.0,5406000.0,3645000.0,51497000.0,46495000.0
March 2013,21601000.0,5671000.0,-1199000.0,,
June 2013,55899000.0,17097000.0,-9793000.0,174100000.0,150619000.0
September 2013,29139000.0,8958000.0,1543000.0,167140000.0,143490000.0
December 2013,33027000.0,10341000.0,-88000.0,195517000.0,173342000.0
March 2014,35113000.0,10938000.0,-8218000.0,197467000.0,173233000.0
June 2014,34864000.0,10860000.0,-32486000.0,173830000.0,165680000.0
September 2014,33251000.0,10086000.0,-2992000.0,175975000.0,167435000.0
December 2014,36324000.0,10922000.0,2906000.0,197986000.0,190109000.0
March 2015,36347000.0,11496000.0,-695000.0,211129000.0,203537000.0
June 2015,40100000.0,12227000.0,38000.0,227530000.0,219596000.0
September 2015,41015000.0,12677000.0,4280000.0,247709000.0,239131000.0
December 2015,47109000.0,13171000.0,2563000.0,279911000.0,269594000.0
March 2016,51010000.0,15358000.0,2971000.0,277394000.0,266512000.0
June 2016,55240000.0,17250000.0,33959000.0,330407000.0,287866000.0
September 2016,59187000.0,18306000.0,6079000.0,366344000.0,322321000.0
December 2016,60206000.0,17170000.0,6423000.0,400999000.0,354942000.0
March 2017,62645000.0,20149000.0,-2237000.0,404929000.0,345751000.0
June 2017,67692000.0,20519000.0,-7338000.0,413368000.0,348824000.0
September 2017,64394000.0,18783000.0,2178000.0,436395000.0,363823000.0
