,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,38982.0,-110190.0,,,
June 2010,38982.0,-110190.0,,,
September 2010,722823.0,-110190.0,,,
December 2010,-224215.0,-110190.0,4004077.0,2554077.0,
March 2011,48118.0,-145161.5,,,
June 2011,36532.0,-145161.5,,,
September 2011,50765.0,-145161.5,4145414.0,2395414.0,
December 2011,423065.0,-145161.5,3668574.0,1911093.0,1757481.0
March 2012,58606.0,-40705.0,3597655.0,1840574.0,1757081.0
June 2012,356281.0,-333539.0,,,
September 2012,116324.0,-50217.0,4811698.0,2743391.0,2068307.0
December 2012,363697.0,-326955.0,4688460.0,2413842.0,
March 2013,87363.0,-34012.0,5246224.0,2577665.0,
June 2013,58460.0,-16775.0,5176764.0,2263117.0,
September 2013,50946.0,18611.0,4667991.0,2260516.0,
December 2013,340967.0,-295345.0,4434981.0,2035147.0,
March 2014,70914.0,135496.0,4062317.0,1977693.0,
June 2014,366523.0,-341426.0,3587169.0,1500086.0,
September 2014,58800.0,-39855.0,3733694.0,1508040.0,
December 2014,423239.0,-360441.0,3414365.0,1192806.0,
March 2015,69200.0,-33487.0,3257542.0,1042637.0,
June 2015,92516.0,-50335.0,3379727.0,1097055.0,
September 2015,139587.0,-105482.0,3293903.0,1017268.0,
December 2015,1504438.0,-1434792.0,1599864.0,903854.0,
March 2016,-58979.0,84009.0,1522818.0,846131.0,
June 2016,452314.0,-443963.0,1268448.0,611083.0,
September 2016,116839.0,-99166.0,1333655.0,637328.0,
December 2016,236880.0,-200911.0,1185085.0,495081.0,
March 2017,181587.0,-181570.0,1127682.0,520851.0,
June 2017,188773.0,-84706.0,982548.0,482066.0,
September 2017,93259.0,-225798.0,893915.0,437646.0,
December 2017,469820.0,-455750.0,954404.0,781515.0,
March 2018,1714234.0,-1750651.0,2878515.0,516003.0,
June 2018,827041.0,-947714.0,2747069.0,364527.0,
September 2018,998703.0,-1254042.0,2426658.0,45470.0,
December 2018,1326325.0,-1648969.0,40043.0,34421.0,
