,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,155252.0,0.0,155252.0,,,,
June 2010,112359.0,0.0,112359.0,,,,
September 2010,1330083.0,0.0,1330083.0,,,,
December 2010,844903.0,18775.0,826128.0,,,,
March 2011,131257.0,0.0,131257.0,-138742.75,,,
June 2011,177132.0,0.0,177132.0,-138742.75,,,
September 2011,156260.0,0.0,156260.0,-138742.75,,,
December 2011,108254.0,0.0,108254.0,-138742.75,,,
March 2012,110733.0,0.0,110733.0,-131906.0,,,
June 2012,108878.0,199144.0,108878.0,666977.5,40227248.0,33919346.0,6307902.0
September 2012,167165.0,118058.0,167165.0,154112.0,,,
December 2012,557756.0,118057.0,592904.0,8308.0,40892232.0,,
March 2013,570203.0,122092.0,233261.0,92993.0,45416396.0,,
June 2013,976242.0,114022.0,,-267259.0,39242700.0,34113772.0,5128928.0
September 2013,718064.0,109398.0,,-313112.0,40630887.0,,
December 2013,932811.0,109397.0,,-250672.0,41171047.0,35890245.0,4991062.0
March 2014,1189581.0,77861.0,,-327563.0,33510306.0,28061205.0,5449101.0
June 2014,866658.0,260737.0,,24619.0,42251766.0,36739795.0,5511971.0
September 2014,828525.0,130539.0,,-327806.0,34329589.0,29246241.0,5083348.0
December 2014,625069.0,200851.0,,-139589.0,32993370.0,28373356.0,4620014.0
March 2015,810821.0,192028.0,,-296150.0,29105733.0,24696656.0,4409077.0
June 2015,45.0,292429.0,,-3045.0,33362460.0,29005105.0,4357355.0
September 2015,6087.0,174217.0,,-9357.0,36784169.0,32835134.0,3949035.0
December 2015,881652.0,216102.0,,-258311.0,31621.0,452.0,3955862.0
March 2016,5606.0,225983.0,626037.0,-5606.0,39204996.0,35185061.0,4019935.0
June 2016,8689.0,125790.0,551484.0,-677274.0,36413.0,5032.0,
September 2016,153692.0,140243.0,7439.0,-153999.0,244619.0,214818.0,
December 2016,343570.0,,,320703.0,3462073.0,288979.0,
March 2017,140439.0,171840.0,773984.0,-147303.0,302714.0,276053.0,
June 2017,,104636.0,3086972.0,-3181647.0,2809559.0,2597238.0,
September 2017,,94992.0,1663397.0,-1767724.0,2159678.0,1876124.0,
