,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,,,-46454750.0,
June 2009,,,-46454750.0,
September 2009,,,-46454750.0,
December 2009,,,-46454750.0,
March 2010,,,-20729000.0,
June 2010,,,-51489000.0,
September 2010,,,-25409000.0,
December 2010,,,-46554000.0,4509433000.0
March 2011,,13344000.0,-23182000.0,
June 2011,,13344000.0,23111000.0,3863864000.0
September 2011,,13344000.0,-11540000.0,3740654000.0
December 2011,,13344000.0,-17466000.0,3678119000.0
March 2012,22923000.0,12586750.0,-14208000.0,3846876000.0
June 2012,15848000.0,12586750.0,-12307.0,3831930000.0
September 2012,15829000.0,12586750.0,277062.0,488354000.0
December 2012,,12586750.0,-14785000.0,470703000.0
March 2013,12131000.0,8185000.0,-6532000.0,432484000.0
June 2013,11245000.0,6658000.0,-2849000.0,442031000.0
September 2013,5423000.0,8341000.0,7695000.0,409108000.0
December 2013,,11585000.0,49525000.0,431147000.0
March 2014,,10882000.0,1358000.0,416895000.0
June 2014,,11782000.0,7291000.0,399295000.0
September 2014,,10189000.0,-1898000.0,382075000.0
December 2014,,19443000.0,-2056000.0,392936000.0
March 2015,,15535000.0,1034000.0,385499000.0
June 2015,,14455000.0,4138000.0,388625000.0
September 2015,,19398000.0,3116000.0,390618000.0
December 2015,,16548000.0,13486000.0,393505000.0
March 2016,,16294000.0,-313000.0,392136000.0
June 2016,,17568000.0,-2186000.0,390465000.0
September 2016,,16837000.0,21699000.0,407212000.0
