,NetIncomeLoss,Assets
December 2012,,212785570.0
March 2013,0.0,
June 2013,-4971643.0,391295362.0
September 2013,1842000.0,520637000.0
December 2013,-7330000.0,571432000.0
March 2014,2753000.0,590380000.0
June 2014,2828000.0,664129000.0
September 2014,2564000.0,703651000.0
December 2014,1462000.0,1010257000.0
March 2015,2122000.0,994672000.0
June 2015,1470000.0,1181444000.0
September 2015,2119000.0,1207565000.0
December 2015,2247000.0,1469621000.0
March 2016,3169000.0,1476977000.0
June 2016,3747000.0,1476138000.0
September 2016,3329000.0,1556165000.0
December 2016,4408000.0,1745887000.0
March 2017,7199000.0,2043194000.0
June 2017,12340000.0,2288531000.0
September 2017,7933000.0,2310685000.0
December 2017,3383000.0,2250172000.0
March 2018,-1223000.0,2220715000.0
June 2018,17262000.0,2218007000.0
September 2018,16483000.0,2295114000.0
December 2018,9055000.0,2154913000.0
March 2019,13647000.0,2186870000.0
June 2019,12740000.0,2027421000.0
September 2019,9102000.0,2279168000.0
December 2019,46076000.0,2387274000.0
March 2020,24308000.0,2524487000.0
June 2020,12008000.0,2836940000.0
September 2020,21175000.0,3344498000.0
December 2020,24925000.0,3459067000.0
March 2021,51024000.0,3431490000.0
June 2021,15974000.0,3935532000.0
September 2021,-2838000.0,3940863000.0
December 2021,62419000.0,4148311000.0
March 2022,45346000.0,4221729000.0
June 2022,-18449000.0,4519018000.0
