,OperatingExpenses,NetIncomeLoss,Assets
March 2009,1478750.0,-849000.0,
June 2009,1478750.0,-849000.0,
September 2009,1478750.0,-849000.0,
December 2009,1478750.0,-849000.0,
March 2010,5300000.0,-3224000.0,
June 2010,3247000.0,-2044000.0,
September 2010,738000.0,-791000.0,
December 2010,502000.0,-3230000.0,36154000.0
March 2011,543000.0,-630000.0,
June 2011,445000.0,-631000.0,35025000.0
September 2011,390000.0,-544000.0,34879000.0
December 2011,568000.0,-718000.0,34365000.0
March 2012,527000.0,-530000.0,34214000.0
June 2012,415000.0,-558000.0,35649000.0
September 2012,466000.0,-628000.0,37630000.0
December 2012,411000.0,-432000.0,39836000.0
March 2013,436000.0,-419000.0,40725000.0
June 2013,400000.0,-250000.0,40827000.0
September 2013,502000.0,323000.0,31570000.0
December 2013,411000.0,-158000.0,27355000.0
March 2014,584000.0,-596000.0,26861000.0
June 2014,324000.0,-399000.0,26666000.0
September 2014,188000.0,1523000.0,28160000.0
December 2014,2860000.0,-1534000.0,25975000.0
March 2015,417000.0,-264000.0,25618000.0
June 2015,393000.0,-285000.0,25585000.0
September 2015,193000.0,1474000.0,27101000.0
